lower,upper
-0.011888597187013112,0.01992957493226206
-0.004304911302309872,0.02927486996233853
-0.008742379842281869,0.03693692175681413
-0.012958021969741466,0.0369425386307984
-0.016148851122771975,0.03572609424186058
-0.018856315334112212,0.03524173183798531
-0.020480757387092107,0.02952589323935308
-0.022448512560187314,0.02528179791157485
-0.024511392021526072,0.021024195942546182
-0.0267201839416271,0.017260679185801302
-0.02907766278448467,0.019875924741496104
-0.03155521709735163,0.021688052916639125
-0.03403602098156965,0.022993032086897014
-0.03653259706813825,0.024289734023984613
-0.039045550067796427,0.02557945604201771
-0.04154339873492348,0.026616246500821818
