lower,upper
-0.0372170315157831,0.031128216707382368
0.0,0.024093177289170584
0.0,0.01623654828849222
0.0,0.02145592111980093
-0.0008826044055031077,0.024781449030832438
-0.0016063543211471036,0.02637871147259748
-0.001644696366661511,0.030008774428435338
-0.001824997893724728,0.031958235092954854
-0.0019164288021056922,0.03371219665772619
-0.0019255865596435637,0.03555600088748231
-0.0020133908903088053,0.03721561370286932
-0.002062547220142703,0.038406799726306035
-0.0020883902741384505,0.03932064287420814
-0.0021215296723355805,0.04023741357921482
-0.002134465116425216,0.041116927536927486
-0.0021449692076665194,0.04194858228164984
